snapshot_time_utc,vehicle_id,route_id,route_stop_id,vehicle_lat,vehicle_lon,vehicle_speed,eta_seconds,estimated_time_arrival,eta_time_local,poll_interval_seconds,source_method
2026-03-03 12:11:59+00:00,16,20,265,33.77376,-84.39195,0,13,13,2026-03-03 07:12:13 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:12:15+00:00,16,20,265,33.77406,-84.39192,0,0,0,2026-03-03 07:12:15 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:12:30+00:00,16,20,265,33.77406,-84.39192,4.99955260815,0,0,2026-03-03 07:12:31 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:12:46+00:00,16,20,266,33.77499,-84.39194,8.99919469467,42,42,2026-03-03 07:13:28 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:13:01+00:00,16,20,266,33.77558,-84.39193,17.000715804,27,27,2026-03-03 07:13:28 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:13:16+00:00,16,20,266,33.7764641679,-84.3920991279,6.99937365141,4,4,2026-03-03 07:13:20 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:13:31+00:00,16,20,266,33.7764641679,-84.3920991279,3.99964208652,4,4,2026-03-03 07:13:36 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:13:47+00:00,16,20,266,33.776757,-84.39206,9.9991052163,0,0,2026-03-03 07:13:48 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:14:03+00:00,16,20,267,33.77694,-84.39286,16.00080528237,11,11,2026-03-03 07:14:20 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:14:25+00:00,16,20,267,33.77699,-84.39405,0,1,1,2026-03-03 07:14:26 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:14:40+00:00,16,20,267,33.77699,-84.39405,0,1,1,2026-03-03 07:14:42 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:14:56+00:00,16,20,268,33.77695,-84.39445,17.000715804,32,32,2026-03-03 07:15:28 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:15:11+00:00,16,20,268,33.777097,-84.395484,11.99892625956,19,19,2026-03-03 07:15:30 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:15:26+00:00,16,20,268,33.777485,-84.395576,0,2,2,2026-03-03 07:15:28 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:15:41+00:00,16,20,268,33.777485,-84.395576,1.99982104326,2,2,2026-03-03 07:15:44 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:15:57+00:00,16,20,268,33.7777,-84.39579,14.00098423911,0,0,2026-03-03 07:15:57 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:16:12+00:00,16,20,269,33.77825,-84.3967,14.00098423911,25,25,2026-03-03 07:16:37 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:16:28+00:00,16,20,269,33.77829,-84.39757,10.99901573793,14,14,2026-03-03 07:16:42 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:16:43+00:00,16,20,269,33.77829,-84.39769,0,11,11,2026-03-03 07:16:54 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:16:58+00:00,16,20,269,33.77832,-84.398084,3.99964208652,3,3,2026-03-03 07:17:01 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:17:14+00:00,16,20,269,33.77832,-84.398084,0,0,0,2026-03-03 07:17:14 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:17:29+00:00,16,20,269,33.77832,-84.398084,7.99928417304,0,0,2026-03-03 07:17:29 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:17:44+00:00,16,20,270,33.77833,-84.399,0.99991052163,17,17,2026-03-03 07:18:01 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:17:59+00:00,16,20,270,33.77836,-84.39956,4.99955260815,2,2,2026-03-03 07:18:01 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:18:15+00:00,16,20,274,33.77851,-84.40034,17.000715804,42,42,2026-03-03 07:18:57 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:18:30+00:00,16,20,274,33.77849,-84.40112,5.99946312978,31,31,2026-03-03 07:19:01 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:18:45+00:00,16,20,274,33.77874,-84.40164,19.00053684726,20,20,2026-03-03 07:19:06 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:19:01+00:00,16,20,274,33.77956,-84.4024,14.00098423911,2,2,2026-03-03 07:19:03 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:19:16+00:00,16,20,274,33.77984,-84.40264,6.99937365141,2,2,2026-03-03 07:19:18 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:19:32+00:00,16,20,272,33.7803,-84.40309,17.000715804,32,32,2026-03-03 07:20:04 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:19:47+00:00,16,20,272,33.78055,-84.40391,13.00107371748,15,15,2026-03-03 07:20:02 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:20:02+00:00,16,20,272,33.780598,-84.404657,9.9991052163,0,0,2026-03-03 07:20:02 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:20:17+00:00,16,20,273,33.78056,-84.40577,8.99919469467,78,78,2026-03-03 07:21:36 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:20:33+00:00,16,20,273,33.78059,-84.40593,4.99955260815,78,78,2026-03-03 07:21:51 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:20:48+00:00,16,20,273,33.78037,-84.40615,9.9991052163,62,62,2026-03-03 07:21:51 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:21:04+00:00,16,20,273,33.77972,-84.40616,0,46,46,2026-03-03 07:21:50 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:21:19+00:00,16,20,273,33.77957,-84.4059,11.99892625956,34,34,2026-03-03 07:21:53 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:21:34+00:00,16,20,273,33.77963,-84.40495,4.99955260815,8,8,2026-03-03 07:21:43 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:21:50+00:00,16,20,273,33.779616,-84.404709,0,4,4,2026-03-03 07:21:54 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:22:05+00:00,16,20,273,33.779616,-84.404709,0,4,4,2026-03-03 07:22:14 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:22:25+00:00,16,20,273,33.779616,-84.404709,0,4,4,2026-03-03 07:22:31 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:22:42+00:00,16,20,273,33.779616,-84.404709,0,4,4,2026-03-03 07:22:48 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:22:59+00:00,16,20,273,33.77961,-84.40445,10.99901573793,0,0,2026-03-03 07:22:59 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:23:14+00:00,16,20,271,33.77962,-84.40403,13.00107371748,18,18,2026-03-03 07:23:38 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:23:35+00:00,16,20,271,33.77969,-84.40292,0.99991052163,7,7,2026-03-03 07:23:42 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:23:50+00:00,16,20,275,33.77971,-84.402416,8.99919469467,37,37,2026-03-03 07:24:27 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:24:05+00:00,16,20,275,33.77872,-84.40164,17.000715804,16,16,2026-03-03 07:24:21 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:24:21+00:00,16,20,275,33.77853,-84.40148,0,16,16,2026-03-03 07:24:37 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:24:36+00:00,16,20,275,33.77839,-84.40122,7.99928417304,7,7,2026-03-03 07:24:43 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:24:51+00:00,16,20,275,33.77845,-84.400824,7.99928417304,0,0,2026-03-03 07:24:51 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
2026-03-03 12:25:06+00:00,16,20,276,33.77837,-84.39986,17.000715804,55,55,2026-03-03 07:26:02 EST,15,GetMapVehiclePoints+GetVehicleRouteStopEstimates
