dataset,family,model,r2,mae_s,rmse_s,n_test,tuning_mae_s
bus,lazy,HistGradientBoostingRegressor,0.5042718832855644,127.37967716464826,163.48508672241377,7536,214.1636855850514
bus,lazy,ExtraTreesRegressor,0.3864603846813166,138.69054440090258,181.87695345278433,7536,168.4989307616164
bus,xgboost,XGBRegressor,0.37954642245860826,143.14134052563892,182.89886590869477,7536,96.7812181520606
bus,lazy,LinearSVR,0.33202875467888104,141.57252708759358,189.7733612211052,7536,286.88517828666437
bus,nn,MLP,-0.58399203073969,226.49633075927554,292.2354262723054,7536,117.29786682128906
bus,baseline,Train mean,-0.22557110387800106,218.0135687034664,257.0547434996661,7536,
bus,baseline,TransLoc as-is (delay=0),-1.3430726484712001,278.7125209044006,355.4260403087788,7536,
route,lazy,LGBMRegressor,0.5053037214928062,139.87360258980382,171.08632990630915,16998,199.92046371590968
route,lazy,ExtraTreesRegressor,0.4568364005667924,135.5781215887972,179.27152679126536,16998,192.24048581357462
route,xgboost,XGBRegressor,0.44870378709207226,139.20992878202182,180.6086277807895,16998,191.93161271296725
route,nn,MLP,0.36549946987547266,157.95052169477194,193.75904401823843,16998,218.33921813964844
route,lazy,AdaBoostRegressor,0.3595354517119459,157.69492517135188,194.6675378670606,16998,202.57309669172597
route,baseline,Train mean,-0.08683167634128819,212.1566617273295,253.58708545395106,16998,
route,baseline,TransLoc as-is (delay=0),-1.3352005819400241,290.4202537872971,371.71328542339177,16998,
combined,xgboost,XGBRegressor,0.3021058003270978,142.5224851890838,232.77040003073898,29141,195.20572649621383
combined,lazy,GradientBoostingRegressor,0.2442118026314256,156.5733523638168,242.23283460101516,29141,211.03988807858073
combined,nn,MLP,0.18058402906698712,176.07192533913846,252.22328093455025,29141,196.23101806640625
combined,lazy,ElasticNet,0.13582634560279638,200.74136722379583,259.0201017052226,29141,230.2199534118337
combined,lazy,OrthogonalMatchingPursuit,0.08942222907041386,191.25962112096343,265.88355725969774,29141,239.01503364413338
combined,baseline,Train mean,-0.0839550666996598,240.01174810960794,290.09390113314254,29141,
combined,baseline,TransLoc as-is (delay=0),-0.724477955843873,255.54757540399652,365.8994714071885,29141,
